clean_symbol,token,name
ICICI1INAV,10050,ICICI1INAV
EMAMIPAP,10074,EMAMIPAP
MAM150INAV,10110,MAM150INAV
ADANIENSOL,10217,ADANIENSOL
MON100INAV,10130,MON100INAV
AYMSYNTEX,10285,AYMSYNTEX
AURUM,10310,AURUM
POWERMECH,10473,POWERMECH
NIFTYBETA,10511,NIFTYBETA
SENSEXBETA,10515,SENSEXBETA
KRBL,10577,KRBL
HDFCNIF100,10633,HDFCNIF100
OAL,10768,OAL
APTECHT,10755,APTECHT
MOQUALITY,10822,MOQUALITY
DIVISLAB,10940,DIVISLAB
BANKIETF,11037,BANKIETF
DANGEE,1110,DANGEE
APOLLO,1134,APOLLO
IGL,11262,IGL
PTC,11355,PTC
POONAWALLA,11403,POONAWALLA
BANKBEES,11439,BANKBEES
LICNETFSEN,11441,LICNETFSEN
GIPCL,1145,GIPCL
HDFCLOWVOL,11547,HDFCLOWVOL
ASTRAMICRO,11618,ASTRAMICRO
GNFC,1174,GNFC
JINDALPHOT,11743,JINDALPHOT
SAKSOFT,11794,SAKSOFT
SSWL,11829,SSWL
JKPAPER,11860,JKPAPER
JSWHL,11880,JSWHL
GENUSPOWER,11905,GENUSPOWER
ESG,1200,ESG
MSPL,11919,MSPL
IMPAL,12009,IMPAL
SUZLON,12018,SUZLON
DELTAMAGNT,1214,DELTAMAGNT
VINNY,12490,VINNY
DHARMAJ,13001,DHARMAJ
SAFARI,13035,SAFARI
EBB433INAV,13168,EBB433INAV
NITINSPIN,13175,NITINSPIN
ENIL,13192,ENIL
JKCEMENT,13270,JKCEMENT
BLKASHYAP,13290,BLKASHYAP
VAKRANGEE,13342,VAKRANGEE
GPIL,13409,GPIL
RATNAMANI,13451,RATNAMANI
PIONEEREMB,13463,PIONEEREMB
TECHM,13538,TECHM
ATLANTAA,13585,ATLANTAA
GEECEE,13658,GEECEE
NFL,13925,NFL
SAGCEM,14068,SAGCEM
GLOBAL,1415,GLOBAL
AUTOIND,14106,AUTOIND
HDFCMID150,14236,HDFCMID150
REDINGTON,14255,REDINGTON
INDIANB,14309,INDIANB
SMSPHARMA,14329,SMSPHARMA
LAOPALA,14423,LAOPALA
GOLDBEES,14428,GOLDBEES
THEMISMED,14485,THEMISMED
BIRLANU,1455,BIRLANU
ZENITHSTL,14562,ZENITHSTL
AKZOINDIA,1467,AKZOINDIA
KMSUGAR,14667,KMSUGAR
HGS,14712,HGS
031NSETEST,14753,031NSETEST
081NSETEST,14767,081NSETEST
161NSETEST,14784,161NSETEST
SPARC,14788,SPARC
WSI,14828,WSI
GOLD1,14858,GOLD1
ASIANTILES,14889,ASIANTILES
PURVA,14922,PURVA
LAL,14924,LAL
MOTILALOFS,14947,MOTILALOFS
MAG813INAV,14953,MAG813INAV
AVALON,15058,AVALON
MADHAV,15151,MADHAV
KIRLPNU,15180,KIRLPNU
UJJIVANSFB,15228,UJJIVANSFB
RPOWER,15259,RPOWER
VIRINCHI,15295,VIRINCHI
VGUARD,15362,VGUARD
RACE,15391,RACE
DPSCLTD,15419,DPSCLTD
RVHL,1565,RVHL
PIGL,15716,PIGL
IPCALAB,1633,IPCALAB
LPDC,16863,LPDC
ARTEMISMED,16913,ARTEMISMED
ASHOKAMET,16943,ASHOKAMET
TPHQ,16996,TPHQ
THYROCARE,17032,THYROCARE
PALREDTEC,17062,PALREDTEC
BANKETF,17419,BANKETF
LIQUID,17572,LIQUID
EXPLEOSOL,17486,EXPLEOSOL
AMRUTANJAN,17547,AMRUTANJAN
SHILPAMED,17752,SHILPAMED
GROBTEA,17770,GROBTEA
ICIQ30INAV,17822,ICIQ30INAV
JSWENERGY,17869,JSWENERGY
GATECH,17888,GATECH
NESTLEIND,17963,NESTLEIND
TRF,17987,TRF
